ts_code,symbol,name,area,industry,xueqiu_url
002202.SZ,002202,金风科技,新疆,电气设备,https://xueqiu.com/S/SZ002202
002203.SZ,002203,海亮股份,浙江,铜,https://xueqiu.com/S/SZ002203
002223.SZ,002223,鱼跃医疗,江苏,医疗保健,https://xueqiu.com/S/SZ002223
002230.SZ,002230,科大讯飞,安徽,软件服务,https://xueqiu.com/S/SZ002230
002236.SZ,002236,大华股份,浙江,IT设备,https://xueqiu.com/S/SZ002236
002241.SZ,002241,歌尔股份,山东,元器件,https://xueqiu.com/S/SZ002241
002244.SZ,002244,滨江集团,浙江,区域地产,https://xueqiu.com/S/SZ002244
002252.SZ,002252,上海莱士,上海,生物制药,https://xueqiu.com/S/SZ002252
002261.SZ,002261,拓维信息,湖南,软件服务,https://xueqiu.com/S/SZ002261
002262.SZ,002262,恩华药业,江苏,化学制药,https://xueqiu.com/S/SZ002262
002265.SZ,002265,建设工业,云南,专用机械,https://xueqiu.com/S/SZ002265
002266.SZ,002266,浙富控股,浙江,环境保护,https://xueqiu.com/S/SZ002266
002271.SZ,002271,东方雨虹,北京,其他建材,https://xueqiu.com/S/SZ002271
002273.SZ,002273,水晶光电,浙江,元器件,https://xueqiu.com/S/SZ002273
002281.SZ,002281,光迅科技,湖北,通信设备,https://xueqiu.com/S/SZ002281
002294.SZ,002294,信立泰,深圳,化学制药,https://xueqiu.com/S/SZ002294
002299.SZ,002299,圣农发展,福建,农业综合,https://xueqiu.com/S/SZ002299
002304.SZ,002304,洋河股份,江苏,白酒,https://xueqiu.com/S/SZ002304
002311.SZ,002311,海大集团,广东,饲料,https://xueqiu.com/S/SZ002311
002312.SZ,002312,川发龙蟒,四川,化工原料,https://xueqiu.com/S/SZ002312
002318.SZ,002318,久立特材,浙江,特种钢,https://xueqiu.com/S/SZ002318
002335.SZ,002335,科华数据,福建,电气设备,https://xueqiu.com/S/SZ002335
002340.SZ,002340,格林美,深圳,小金属,https://xueqiu.com/S/SZ002340
002352.SZ,002352,顺丰控股,深圳,仓储物流,https://xueqiu.com/S/SZ002352
002353.SZ,002353,杰瑞股份,山东,化工机械,https://xueqiu.com/S/SZ002353
002371.SZ,002371,北方华创,北京,半导体,https://xueqiu.com/S/SZ002371
002372.SZ,002372,伟星新材,浙江,其他建材,https://xueqiu.com/S/SZ002372
002384.SZ,002384,东山精密,江苏,元器件,https://xueqiu.com/S/SZ002384
002385.SZ,002385,大北农,北京,饲料,https://xueqiu.com/S/SZ002385
002402.SZ,002402,和而泰,深圳,元器件,https://xueqiu.com/S/SZ002402
002409.SZ,002409,雅克科技,江苏,半导体,https://xueqiu.com/S/SZ002409
002410.SZ,002410,广联达,北京,软件服务,https://xueqiu.com/S/SZ002410
002414.SZ,002414,高德红外,湖北,电器仪表,https://xueqiu.com/S/SZ002414
002415.SZ,002415,海康威视,浙江,IT设备,https://xueqiu.com/S/SZ002415
002422.SZ,002422,科伦药业,四川,化学制药,https://xueqiu.com/S/SZ002422
002423.SZ,002423,中粮资本,河南,多元金融,https://xueqiu.com/S/SZ002423
002429.SZ,002429,兆驰股份,深圳,家用电器,https://xueqiu.com/S/SZ002429
002430.SZ,002430,杭氧股份,浙江,化工机械,https://xueqiu.com/S/SZ002430
002432.SZ,002432,九安医疗,天津,医疗保健,https://xueqiu.com/S/SZ002432
002436.SZ,002436,兴森科技,深圳,元器件,https://xueqiu.com/S/SZ002436
002439.SZ,002439,启明星辰,北京,软件服务,https://xueqiu.com/S/SZ002439
002444.SZ,002444,巨星科技,浙江,轻工机械,https://xueqiu.com/S/SZ002444
002459.SZ,002459,晶澳科技,河北,电气设备,https://xueqiu.com/S/SZ002459
002460.SZ,002460,赣锋锂业,江西,小金属,https://xueqiu.com/S/SZ002460
002461.SZ,002461,珠江啤酒,广东,啤酒,https://xueqiu.com/S/SZ002461
002463.SZ,002463,沪电股份,江苏,元器件,https://xueqiu.com/S/SZ002463
002465.SZ,002465,海格通信,广东,通信设备,https://xueqiu.com/S/SZ002465
002466.SZ,002466,天齐锂业,四川,小金属,https://xueqiu.com/S/SZ002466
002472.SZ,002472,双环传动,浙江,汽车配件,https://xueqiu.com/S/SZ002472
002475.SZ,002475,立讯精密,深圳,元器件,https://xueqiu.com/S/SZ002475
002493.SZ,002493,荣盛石化,浙江,化纤,https://xueqiu.com/S/SZ002493
002500.SZ,002500,山西证券,山西,证券,https://xueqiu.com/S/SZ002500
002508.SZ,002508,老板电器,浙江,家用电器,https://xueqiu.com/S/SZ002508
002517.SZ,002517,恺英网络,福建,互联网,https://xueqiu.com/S/SZ002517
002532.SZ,002532,天山铝业,新疆,铝,https://xueqiu.com/S/SZ002532
002558.SZ,002558,巨人网络,重庆,互联网,https://xueqiu.com/S/SZ002558
002568.SZ,002568,百润股份,上海,红黄酒,https://xueqiu.com/S/SZ002568
002583.SZ,002583,海能达,深圳,通信设备,https://xueqiu.com/S/SZ002583
002594.SZ,002594,比亚迪,深圳,汽车整车,https://xueqiu.com/S/SZ002594
002595.SZ,002595,豪迈科技,山东,专用机械,https://xueqiu.com/S/SZ002595
002600.SZ,002600,领益智造,广东,元器件,https://xueqiu.com/S/SZ002600
002601.SZ,002601,龙佰集团,河南,化工原料,https://xueqiu.com/S/SZ002601
002603.SZ,002603,以岭药业,河北,中成药,https://xueqiu.com/S/SZ002603
002607.SZ,002607,中公教育,安徽,文教休闲,https://xueqiu.com/S/SZ002607
002608.SZ,002608,江苏国信,江苏,火力发电,https://xueqiu.com/S/SZ002608
