ts_code,symbol,name,area,industry,xueqiu_url
300456.SZ,300456,赛微电子,北京,半导体,https://xueqiu.com/S/SZ300456
300476.SZ,300476,胜宏科技,广东,元器件,https://xueqiu.com/S/SZ300476
300494.SZ,300494,盛天网络,湖北,互联网,https://xueqiu.com/S/SZ300494
300499.SZ,300499,高澜股份,广东,专用机械,https://xueqiu.com/S/SZ300499
300502.SZ,300502,新易盛,四川,通信设备,https://xueqiu.com/S/SZ300502
300503.SZ,300503,昊志机电,广东,机械基件,https://xueqiu.com/S/SZ300503
300529.SZ,300529,健帆生物,广东,医疗保健,https://xueqiu.com/S/SZ300529
300580.SZ,300580,贝斯特,江苏,汽车配件,https://xueqiu.com/S/SZ300580
300604.SZ,300604,长川科技,浙江,半导体,https://xueqiu.com/S/SZ300604
300618.SZ,300618,寒锐钴业,江苏,小金属,https://xueqiu.com/S/SZ300618
300627.SZ,300627,华测导航,上海,通信设备,https://xueqiu.com/S/SZ300627
300680.SZ,300680,隆盛科技,江苏,汽车配件,https://xueqiu.com/S/SZ300680
300718.SZ,300718,长盛轴承,浙江,机械基件,https://xueqiu.com/S/SZ300718
300731.SZ,300731,科创新源,深圳,橡胶,https://xueqiu.com/S/SZ300731
300748.SZ,300748,金力永磁,江西,矿物制品,https://xueqiu.com/S/SZ300748
300750.SZ,300750,宁德时代,福建,电气设备,https://xueqiu.com/S/SZ300750
300757.SZ,300757,罗博特科,江苏,专用机械,https://xueqiu.com/S/SZ300757
300792.SZ,300792,壹网壹创,浙江,互联网,https://xueqiu.com/S/SZ300792
300865.SZ,300865,大宏立,四川,专用机械,https://xueqiu.com/S/SZ300865
300919.SZ,300919,中伟新材,贵州,电气设备,https://xueqiu.com/S/SZ300919
300953.SZ,300953,震裕科技,浙江,电气设备,https://xueqiu.com/S/SZ300953
300957.SZ,300957,贝泰妮,云南,日用化工,https://xueqiu.com/S/SZ300957
300986.SZ,300986,志特新材,江西,建筑工程,https://xueqiu.com/S/SZ300986
301018.SZ,301018,申菱环境,广东,专用机械,https://xueqiu.com/S/SZ301018
301308.SZ,301308,江波龙,深圳,半导体,https://xueqiu.com/S/SZ301308
301381.SZ,301381,赛维时代,深圳,互联网,https://xueqiu.com/S/SZ301381
301392.SZ,301392,汇成真空,广东,专用机械,https://xueqiu.com/S/SZ301392
301636.SZ,301636,泽润新能,江苏,电气设备,https://xueqiu.com/S/SZ301636
302132.SZ,302132,中航成飞,陕西,电器仪表,https://xueqiu.com/S/SZ302132
600008.SH,600008,首创环保,北京,水务,https://xueqiu.com/S/SH600008
600030.SH,600030,中信证券,深圳,证券,https://xueqiu.com/S/SH600030
600031.SH,600031,三一重工,北京,工程机械,https://xueqiu.com/S/SH600031
600036.SH,600036,招商银行,深圳,银行,https://xueqiu.com/S/SH600036
600089.SH,600089,特变电工,新疆,电气设备,https://xueqiu.com/S/SH600089
600104.SH,600104,上汽集团,上海,汽车整车,https://xueqiu.com/S/SH600104
600111.SH,600111,北方稀土,内蒙,小金属,https://xueqiu.com/S/SH600111
600118.SH,600118,中国卫星,北京,航空,https://xueqiu.com/S/SH600118
